"","Yahoo_US_AAZ_pred$mean","Yahoo_US_MMZ_pred$mean","Yahoo_US_tbats_pred$mean","Yahoo_US_arima_pred$mean","Yahoo_W_AAZ_pred$mean","Yahoo_W_MMZ_pred$mean","Yahoo_W_tbats_pred$mean","Yahoo_W_arima_pred$mean"
"107",70260210.757562,64867925.4960603,55210137.3602135,149554843.405405,211463934.345238,229782241.656733,194508167.051331,476153122.972973
"108",70320484.6326925,64874277.1676034,55210824.3520357,150533690.054054,211659059.730478,229829540.662028,194532953.145877,479327657.72973
"109",70379476.5262473,64880328.537144,55211468.1518548,151512536.702703,211850282.57723,229874815.984465,194556663.030949,482502192.486487
"110",70437213.705044,64886093.7766163,55212071.4748197,152491383.351351,212037680.936881,229918153.831979,194579343.352391,485676727.243243
"111",70493722.8559549,64891586.3915642,55212636.8654453,153470230,212221331.299776,229959636.771649,194601038.741369,488851262
"112",70549030.0982417,64896819.2522518,55213166.708331,154449076.648649,212401308.62644,229999343.880798,194621791.900774,492025796.756757
"113",70603160.9956285,64901804.6233434,55213663.2382051,155427923.297297,212577686.378179,230037350.892058,194641643.687989,495200331.513514
"114",70656140.5681174,64906554.1922154,55214128.5493407,156406769.945946,212750536.547058,230073730.332601,194660633.194136,498374866.27027
"115",70707993.3035535,64911079.0959614,55214564.6043788,157385616.594595,212919929.685292,230108551.657769,194678797.81997,501549401.027027
"116",70758743.168943,64915389.94715,55214973.2425988,158364463.243243,213085934.934038,230141881.379308,194696173.348555,504723935.783784
"117",70808413.6215311,64919496.8583903,55215356.187669,159343309.891892,213248620.051621,230173783.188402,194712794.014843,507898470.540541
"118",70857027.6196449,64923409.4657608,55215715.054912,160322156.54054,213408051.441188,230204318.073716,194728692.572299,511073005.297297
"119",70904607.633304,64927136.9511504,55216051.3581111,161301003.189189,213564294.177812,230233544.434625,194743900.356686,514247540.054054
"120",70951175.6546074,64930688.0635644,55216366.5158927,162279849.837838,213717412.035055,230261518.18983,194758447.347137,517422074.810811
